Datetime,Water Level (m)
2023-08-21 06:00:00,2.443193
2023-08-21 07:00:00,2.577576
2023-08-21 08:00:00,2.687194
2023-08-21 09:00:00,2.7819302
2023-08-21 10:00:00,2.8661911
2023-08-21 11:00:00,2.9325948
2023-08-21 12:00:00,3.0089257
2023-08-21 13:00:00,3.0711575
2023-08-21 14:00:00,3.1380787
2023-08-21 15:00:00,3.212154
2023-08-21 16:00:00,3.2984545
2023-08-21 17:00:00,3.3989747
2023-08-21 18:00:00,3.497589
2023-08-21 19:00:00,3.5798125
2023-08-21 20:00:00,3.6477468
2023-08-21 21:00:00,3.703811
2023-08-21 22:00:00,3.7527206
2023-08-21 23:00:00,3.7962618
2023-08-22 00:00:00,3.8353667
2023-08-22 01:00:00,3.8693972
2023-08-22 02:00:00,3.9040282
2023-08-22 03:00:00,3.9359193
2023-08-22 04:00:00,3.9794843
2023-08-22 05:00:00,4.0337687
2023-08-22 06:00:00,4.0921125
2023-08-22 07:00:00,4.1443987
2023-08-22 08:00:00,4.1844544
2023-08-22 09:00:00,4.2161994
2023-08-22 10:00:00,4.2422304
2023-08-22 11:00:00,4.2626576
2023-08-22 12:00:00,4.2805223
2023-08-22 13:00:00,4.295278
2023-08-22 14:00:00,4.310029
2023-08-22 15:00:00,4.325011
2023-08-22 16:00:00,4.34054
2023-08-22 17:00:00,4.367444
2023-08-22 18:00:00,4.399295
2023-08-22 19:00:00,4.4262543
2023-08-22 20:00:00,4.4501734
2023-08-22 21:00:00,4.4679985
2023-08-22 22:00:00,4.479783
2023-08-22 23:00:00,4.4903493
2023-08-23 00:00:00,4.5000496
2023-08-23 01:00:00,4.5092254
2023-08-23 02:00:00,4.5152617
2023-08-23 03:00:00,4.522313
2023-08-23 04:00:00,4.5314045
2023-08-23 05:00:00,4.5469694
2023-08-23 06:00:00,4.569537
2023-08-23 07:00:00,4.5930557
2023-08-23 08:00:00,4.612327
2023-08-23 09:00:00,4.623478
2023-08-23 10:00:00,4.6290107
2023-08-23 11:00:00,4.6332207
2023-08-23 12:00:00,4.6351027
2023-08-23 13:00:00,4.6351953
2023-08-23 14:00:00,4.634983
2023-08-23 15:00:00,4.634237
2023-08-23 16:00:00,4.6351542
2023-08-23 17:00:00,4.6410985
2023-08-23 18:00:00,4.6538877
2023-08-23 19:00:00,4.669349
2023-08-23 20:00:00,4.683202
2023-08-23 21:00:00,4.693107
2023-08-23 22:00:00,4.6982565
2023-08-23 23:00:00,4.701106
2023-08-24 00:00:00,4.7014904
2023-08-24 01:00:00,4.700504
2023-08-24 02:00:00,4.6987514
2023-08-24 03:00:00,4.6970234
2023-08-24 04:00:00,4.6963573
2023-08-24 05:00:00,4.700367
2023-08-24 06:00:00,4.714848
2023-08-24 07:00:00,4.7313285
2023-08-24 08:00:00,4.752112
2023-08-24 09:00:00,4.7662554
2023-08-24 10:00:00,4.772701
2023-08-24 11:00:00,4.7784443
2023-08-24 12:00:00,4.7786617
2023-08-24 13:00:00,4.77788
2023-08-24 14:00:00,4.776686
2023-08-24 15:00:00,4.7743077
2023-08-24 16:00:00,4.7723713
2023-08-24 17:00:00,4.7719603
2023-08-24 18:00:00,4.7744927
2023-08-24 19:00:00,4.7820287
2023-08-24 20:00:00,4.791698
2023-08-24 21:00:00,4.8010254
2023-08-24 22:00:00,4.806904
2023-08-24 23:00:00,4.809938
2023-08-25 00:00:00,4.809708
2023-08-25 01:00:00,4.809027
2023-08-25 02:00:00,4.8073287
2023-08-25 03:00:00,4.8055143
2023-08-25 04:00:00,4.8025355
2023-08-25 05:00:00,4.8008275
2023-08-25 06:00:00,4.80322
2023-08-25 07:00:00,4.8123584
2023-08-25 08:00:00,4.827053
2023-08-25 09:00:00,4.8414245
2023-08-25 10:00:00,4.8536158
2023-08-25 11:00:00,4.860857
2023-08-25 12:00:00,4.8634043
2023-08-25 13:00:00,4.8641872
2023-08-25 14:00:00,4.8629293
2023-08-25 15:00:00,4.860275
2023-08-25 16:00:00,4.856196
2023-08-25 17:00:00,4.8518157
2023-08-25 18:00:00,4.847973
2023-08-25 19:00:00,4.846393
2023-08-25 20:00:00,4.850289
2023-08-25 21:00:00,4.856621
2023-08-25 22:00:00,4.8626
2023-08-25 23:00:00,4.866065
2023-08-26 00:00:00,4.866376
2023-08-26 01:00:00,4.8652864
2023-08-26 02:00:00,4.863104
2023-08-26 03:00:00,4.859416
2023-08-26 04:00:00,4.8549294
2023-08-26 05:00:00,4.850297
2023-08-26 06:00:00,4.8462043
2023-08-26 07:00:00,4.84531
2023-08-26 08:00:00,4.8506117
2023-08-26 09:00:00,4.862788
2023-08-26 10:00:00,4.877013
2023-08-26 11:00:00,4.8897414
2023-08-26 12:00:00,4.899542
2023-08-26 13:00:00,4.9031696
2023-08-26 14:00:00,4.904843
2023-08-26 15:00:00,4.9036
2023-08-26 16:00:00,4.901313
2023-08-26 17:00:00,4.8981223
2023-08-26 18:00:00,4.894259
2023-08-26 19:00:00,4.8890023
2023-08-26 20:00:00,4.885298
2023-08-26 21:00:00,4.883535
2023-08-26 22:00:00,4.886482
2023-08-26 23:00:00,4.89059
2023-08-27 00:00:00,4.894974
2023-08-27 01:00:00,4.8970942
2023-08-27 02:00:00,4.897688
2023-08-27 03:00:00,4.8954096
2023-08-27 04:00:00,4.892755
2023-08-27 05:00:00,4.8891253
2023-08-27 06:00:00,4.8857584
